адрес	название	категория	улица	номер дома	широта	долгота	wmid	wikimapia	ссылки	автор	описание
Греческая_53	Дом вдовы Номикос	ворота,памятник архитектуры (истории),строение 19го века,объект культурного наследия регионального значения	Греческая ул.	53	47.209975	38.939788	26421729	http://wikimapia.org/26421729/ru/%D0%94%D0%BE%D0%BC-%D0%B2%D0%B4%D0%BE%D0%B2%D1%8B-%D0%9D%D0%BE%D0%BC%D0%B8%D0%BA%D0%BE%D1%81	https://sites.google.com/site/istoriceskijtaganrog/greceskaa-ulica-1/dom-53	klunny	 До 1925 года дом принадлежал семье Номикос, часть помещения в 1912 году занимала агентурно-комиссионная контора Паногиотато. В 1920 году здание передали под профессиональную медицинскую школу, которая в разное время имела разные названия - медицинский техникум, фельдшерско-акушерская школа, медицинское училище. Во время немецкой оккупации города в 1941 году для солдат немецкой армии здесь открыли публичный дом. В настоящее время работает филиал Северо-Кавказского института «Спецпроектреставрация», Оценивался в 28000 рублей и был под номером 27 На козырьке дома - литера владельцев - буква Н. По переулку был большой балкон, застроен. Сохранились кованные ворота и калитки.
Красный_16		индивидуальный жилой дом,памятник архитектуры (истории)	Красный пер.	16	47.213838	38.923289	32576557	http://wikimapia.org/32576557/ru/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9-%D0%BF%D0%B5%D1%80-16		klunny	
Комсомольский_Бул_41	Дом Коробьиной	индивидуальный жилой дом,памятник архитектуры (истории)	Комсомольский бул.	41	47.207874	38.945076	35710437	http://wikimapia.org/35710437/ru/%D0%94%D0%BE%D0%BC-%D0%9A%D0%BE%D1%80%D0%BE%D0%B1%D1%8C%D0%B8%D0%BD%D0%BE%D0%B9	https://sites.google.com/site/istoriceskijtaganrog/istoriceskij-bulvar/dom-39	klunny	Во время Отечественной воины 1941-1945 годов одна авиационная бомба и два артиллерийских снаряда попали в этот одноэтажный солидной постройки дом, разрушив его до оснований. Построен он был совсем недавно, в начале двадцатого века, и ранее принадлежал дворянке Александре Ивановне Коробьиной. В 1907 году в Таганрог из Амвросиевки на постоянное местожительство со своей супругой Анной Петровной прибыл губернский секретарь Василий Тимофеевич Бородин. Сам он был из Мариуполя и после получения юридического образования пять лет верой и правдой занимал пост начальника земской управы в Амвросиевке. Появившись в Таганроге, у своего родственника, отставного морского капитана, купил его домовладение на Воронцовском бульваре, 14а, в котором доживал свой век его престарелый родственник. Несколько комнат в доме были выполнены в виде морских кают, а с прислугой, жившей в отдельном дворовом флигеле, разговоры велись посредством переговорных трубок. Выкупив заложенный в ломбарде дом, Василий Тимофеевич стал полновластным его хозяином. В семье родилось две дочери Вера и Таисия и три сына: Николай, Александр и Григорий. Дочь Таисия в 1921 году обручилась с одним из четырех сыновей Меркурия Николаевича Уздемира - Иваном. Всего в семье появилось па свет четверо сыновей: Петр, Иван, Василий, Михаил и три дочери: Мария, Матрена и Татьяна. 
Розы_Люксембург_93	Дом художницы Серафимы Блонской	многоквартирный жилой дом,памятник архитектуры (истории),строение 19го века	ул. Розы Люксембург	93	47.208218	38.920458	38180753	http://wikimapia.org/38180753/ru/%D0%94%D0%BE%D0%BC-%D1%85%D1%83%D0%B4%D0%BE%D0%B6%D0%BD%D0%B8%D1%86%D1%8B-%D0%A1%D0%B5%D1%80%D0%B0%D1%84%D0%B8%D0%BC%D1%8B-%D0%91%D0%BB%D0%BE%D0%BD%D1%81%D0%BA%D0%BE%D0%B9	http://skif-tag.livejournal.com/3727557.html	klunny	На улице Розы Люксембург, 93 находилось имение известной таганрогской художницы Серафимы Иасоновны Блонской. Здесь она жила вместе со своим мужем, тоже известным петербургским художником Александром Михайловичем Леонтовским. С.И. Блонская, окончив Мариинскую гимназию с золотой медалью, поступила в Киевскую рисовальную школу, затем в Петербургскую академию художеств. В 1909 г. она возвращается в Таганрог со своим мужем А.М. Леонтовским. Александр Михайлович успешно работал в жанре портрета, исполнил заказ на написание серии портретов членов царской семьи. В Таганрогском художественном музее находится его известная картина «Дама в белом». В музее также находятся картины С.И. Блонской «Вербное воскресенье», «Гуси», «Портрет режиссера Таганрогского драматического театра С.О. Орского» и др. Британский музей приобрел у С. Блонской две работы. В 1910 г. С.И. Блонская вместе с мужем открыла в Таганроге школу рисования и живописи с курсом лекций по анатомии, перспективе и истории искусства. После смерти Леонтовского в 1928 г. школа прекратила свое существование. Дом в плохом состоянии, надстроена мансарда.
Пушкинская_22	Дом мещанина Титова	индивидуальный жилой дом,не отображать название,строение 19го века	Пушкинская ул.	22	47.200848	38.933297	38281433	http://wikimapia.org/38281433/ru/%D0%94%D0%BE%D0%BC-%D0%BC%D0%B5%D1%89%D0%B0%D0%BD%D0%B8%D0%BD%D0%B0-%D0%A2%D0%B8%D1%82%D0%BE%D0%B2%D0%B0		klunny	один из трех 'купеческих' каменных домов на улице пушкинской, построенных до революции. До революции дом №14
Чехова_68	Дом Горбунова	ворота,многоквартирный жилой дом,памятник архитектуры (истории),объект культурного наследия регионального значения,строение 1880-х годов	ул. Чехова	68	47.20799	38.930876	38177011	http://wikimapia.org/38177011/ru/%D0%94%D0%BE%D0%BC-%D0%93%D0%BE%D1%80%D0%B1%D1%83%D0%BD%D0%BE%D0%B2%D0%B0	https://sites.google.com/site/istoriceskijtaganrog/cehova-ulica/dom-68	klunny	С 1880-х годов двухэтажное здание оценивалось в 19200 рублей и принадлежало крестьянину Ивану Платоновичу Горбунову, с 1918 года торговцу П. Шведикову. Часть помещений в доме под квартиры снимал частный поверенный Михаил Ставрович Анастасьев и работала, вероятно во дворовой постройке, прачечная Подолякиной. По Тургеневскому дом имеет ворота с аркой.
Петровская_64	Гостиница «Центральная»	гостиница,ворота,достопримечательность,памятник архитектуры (истории),строение 1860-х годов,объект культурного наследия регионального значения,выявленный объект культурного наследия	Петровская ул.	64/8	47.212154	38.934967	11601326	http://wikimapia.org/11601326/ru/%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B8%D1%86%D0%B0-%C2%AB%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%C2%BB	http://www.bristolhotel.ru,http://sites.google.com/site/istoriceskijtaganrog/petrovskaa-ulica/dom-64	klunny	Здание построено в 1867 году в стиле русского классицизма на средства купца П. Ф. Перушкина. В разное время оно принадлежало купцу Перушкину (1873–1880), купцам Хандриным (1890–1898), купцам братьям Мелкуму и Григорию Багдасаровым (1906–1915). Здесь в апреле 1918 года была организована Коммунистическая партия Украины. Историческое название «Бристоль» (до 1920 года). У здания срезан балкон, в целом сильно изуродовано. В арке сохранились створки ворот. Тел. +7 (8634) 38-30-22 (дежурный администратор); +7 (8634) 31-44-05 (менеджер); Факс +7 (8634) 38-39-11 + фото 
Фрунзе_122		индивидуальный жилой дом,строение 19го века	ул. Фрунзе	122	47.223384	38.913205	29238489	http://wikimapia.org/29238489/ru/%D1%83%D0%BB-%D0%A4%D1%80%D1%83%D0%BD%D0%B7%D0%B5-122		klunny	Дом на три окна с правой парадной.
Дзержинского_111		многоквартирный жилой дом,памятник архитектуры (истории),конструктивизм (искусство)	ул. Дзержинского	111/2	47.238899	38.916487	26329951	http://wikimapia.org/26329951/ru/%D1%83%D0%BB-%D0%94%D0%B7%D0%B5%D1%80%D0%B6%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE-111-2		klunny	Реш-е № 301 от 18.11.92 г.
Фрунзе_25	Дом Костевых	многоквартирный жилой дом,строение 19го века	ул. Фрунзе	25	47.211836	38.931137	27031134	http://wikimapia.org/27031134/ru/%D0%94%D0%BE%D0%BC-%D0%9A%D0%BE%D1%81%D1%82%D0%B5%D0%B2%D1%8B%D1%85		klunny	Небольшой на три окна домик в начале 70-х годов 19 века принадлежал таганрогским мещанам Ивану и Дмитрию Костевым. В 1890-х годах дом перешел наследникам, а в конце столетия куплен купцом 2-й гильдии Николаем Ивановичем Рафаиловичем. После его скоропостижной смерти 9 февраля 1912 года дом по наследству перешел его дочери Елене Николаевне и Александру Богдановскому, присяжному поверенному, имевшему практику на Касперовке. В 1932 года во дворе дома находилась артель «Красный галантерейщик» по ремонту чемоданов, портфелей, саквояжей. Оценивался в 6000р.
Греческая_87	Дом почтмейстера	индивидуальный жилой дом,памятник архитектуры (истории),строение 1830-х годов,объект культурного наследия регионального значения	Греческая ул.	87	47.21344	38.935002	26436183	http://wikimapia.org/26436183/ru/%D0%94%D0%BE%D0%BC-%D0%BF%D0%BE%D1%87%D1%82%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B5%D1%80%D0%B0		yggasser	Является объектом культурного наследия регионального значения (Решение № 301 от 18.11.92 года). В конце 1860-х годов полутораэтажный дом на пять окон, украшенный по карнизу зубчиками, принадлежал купчихе Кончатовой, В конце 1870-х годов ее дом перешел в собственность семьи Томашевских и записан был на Марию Мануйловну, жену статского советника Михаила Томашевского, почтмейстера нашего города, В семье родились две дочери: Надежда (1851) и Елизавета, владевшие домом с 1910-х годов. Дом национализирован в 20х годах прошлого века. Имеются множественные пристройки.
Ленина_134а		многоквартирный жилой дом,строение 19го века	ул. Ленина	134а	47.223589	38.917285	26332086	http://wikimapia.org/26332086/ru/%D1%83%D0%BB-%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B0-134%D0%B0		klunny	Два дома 19 века. Один, угловой, судя по всему изначально жилой. Второй, на два крыльца — лавка. Оба национализированы и отданы под жилье. Часть помещений используется под офисы.
Чехова_63	Дом Третьякова	индивидуальный жилой дом,памятник архитектуры (истории)	ул. Чехова	63	47.206979	38.932263	38263638	http://wikimapia.org/38263638/ru/%D0%94%D0%BE%D0%BC-%D0%A2%D1%80%D0%B5%D1%82%D1%8C%D1%8F%D0%BA%D0%BE%D0%B2%D0%B0	https://sites.google.com/site/istoriceskijtaganrog/cehova-ulica/dom-63	klunny	Здание построено в третьей четверти 19 века, оценивалось в 12 тысяч рублей и принадлежало купцу Василию Николаевичу Третьякову, затем купцу Якову Ковалеву. В начале апреля 1910 года во дворе Ковалева ночью внезапно загорелись сараи, в которых хозяин дома в больших количествах хранил сахар, масло и другие товары. Как предполагали пожар начался в одном из сараев еще днем и только к ночи пламя выбилось наружу. Несмотря на близость пожарной команды на место случившегося пожарники появились лишь через сорок минут и за это время успело сгореть несколько складских построек. 
Чехова_106	Дом Чуле	многоквартирный жилой дом,памятник архитектуры (истории),объект культурного наследия регионального значения	ул. Чехова	106	47.212965	38.919087	38184969	http://wikimapia.org/38184969/ru/%D0%94%D0%BE%D0%BC-%D0%A7%D1%83%D0%BB%D0%B5	https://sites.google.com/site/istoriceskijtaganrog/cehova-ulica/dom-106	klunny	Здание знаменито тем, что принадлежало наследникам купца Николая Петровича Чуле, члену Коммерческого суда, сын которого, Константин, коллежский асессор таганрогской таможни, являлся одним из главных действующих лиц, замешанных в крупных биржевых махинациях, и проходивший по делу Марка Вальяно. Дом сильно перестроен и пребывает в плохом состоянии. 
Лермонтовский_32	Дом Диамантиди	многоквартирный жилой дом,памятник архитектуры (истории)	Лермонтовский пер.	32	47.210407	38.925532	38212418	http://wikimapia.org/38212418/ru/%D0%94%D0%BE%D0%BC-%D0%94%D0%B8%D0%B0%D0%BC%D0%B0%D0%BD%D1%82%D0%B8%D0%B4%D0%B8		klunny	Один из потомков старинных греческих родов в России Николай Дмитриевич Диамантиди купил этот дом в начале 20 века у мещанки Екатерины Малаксиано, по всей вероятности Екатерины Павловны, скончавшейся от старости в возрасте 90 лет, и оценивался в 8000 рублей. Родился в семье таганрогских мещан Дмитрия Диамантиди и Марии Ивановны 21/26 апреля 1857 года. 26 апреля 1887 года как купеческий брат в возрасте 29 лет обвенчался в Греческой церкви с 19-легней дочерью таганрогского купца Еленой Антоновной Сваело (Сфаэло). В числе присутствовавших гостей при бракосочетании в церкви были купец 1-й гильдии Дмитрий Иванович Диамантиди и Аглая Денисовна Сфаэло. У четы Николая Дмитриевича и Елены Антоновны 29 марта 1899 года родился сын Дмитрий. 16 апреля 1895 года - сын Сергей. Николай Дмитриевич являлся почетным попечителем Петровского городского училища, последние годыперед смертью был португальским консулом и членом 1-го российского страхового агентства. Скончался от тяжелой болезни в апреле месяце 1914 года в итальянском городе Нерви. Застроен со всех сторон
Большой_Садовый_35	Жилые дома жакта	многоквартирный жилой дом,не отображать название,строение 19го века	Большой Садовый пер.	35	47.222634	38.927575	39524311	http://wikimapia.org/39524311/ru/%D0%96%D0%B8%D0%BB%D1%8B%D0%B5-%D0%B4%D0%BE%D0%BC%D0%B0-%D0%B6%D0%B0%D0%BA%D1%82%D0%B0		klunny	Дом на пять окон с правой заложенной парадной. Обшит вентфасадом.
Добролюбовский_13	Лавки Ильченко — жилой дом	многоквартирный жилой дом,строение 1964 года,строение 19го века,выявленный объект культурного наследия	Добролюбовский пер.	13	47.209052	38.938021	26417305	http://wikimapia.org/26417305/ru/%D0%9B%D0%B0%D0%B2%D0%BA%D0%B8-%D0%98%D0%BB%D1%8C%D1%87%D0%B5%D0%BD%D0%BA%D0%BE-%E2%80%94-%D0%B6%D0%B8%D0%BB%D0%BE%D0%B9-%D0%B4%D0%BE%D0%BC		klunny	Выявленный объект культурного наследия Пр-з № 124 от 31.12.02 г. До революции - купеческие лавки. После войны перестроено, с 1964 года жилой дом.
Гоголевский_12	Дом  Деспотули	магазин,памятник архитектуры (истории),строение 1880-х годов	Гоголевский пер.	12	47.215563	38.917785	37108831	http://wikimapia.org/37108831/ru/%D0%94%D0%BE%D0%BC-%D0%94%D0%B5%D1%81%D0%BF%D0%BE%D1%82%D1%83%D0%BB%D0%B8		klunny	В 1916 году стоимость здания оценили в десять тысяч рублей, и с 1880-х годов им владел мещанин: Григорий Деспотули, затем керченский мещанин Пантелей Константиновича Деспотули. В феврале 1882 года Григорий Константинович Деспотули, житель Керчь-Еникале, в возрасте 29 лет обвенчался в Греческой церкви с 24-летней Софьей Алексеевной Ковалевой, 21 ноября 1892 года у них родился сын Елеферий (Елефтерий). В этом же году у его брата Сергея и его супруги Александры 26 мая родился сын Илья. Третий брат, Пантелей был женат дважды. Первое его бракосочетание состоялось в Греческой церкви 25 января 1874 года, где его супругой стала 21-летняя дочь таганрогского мещанина Софья Власовна Скизерли. Вторично женился Пантелей Константинович, уже после смерти своей первой супруги, в возрасте 35 лет взяв в жены 23-х летнюю девицу Софью Николаевну, дочь протоиерея Успенского собора, затем Греческой церкви, Николая Боярова, награжденного многими царскими наградами. Пантелей Константинович скончался 3 февраля 1910 года от потери крови, когда ему исполнилось 63 года. После его смерти здание было продано нахичеванскому мещанину Гавриилу Акимовичу Бахчисарайцеву, владевшему домом до 1918 года. Часть помещения он сдавал под магазин готовой обуви «Надежда».
Сенной_2	Жилой дом руководства казенного винного склада	эклектика,многоквартирный жилой дом,памятник архитектуры (истории),строение 19го века	Сенной пер.	2 корпус 4	47.222668	38.920771	38195879	http://wikimapia.org/38195879/ru/%D0%96%D0%B8%D0%BB%D0%BE%D0%B9-%D0%B4%D0%BE%D0%BC-%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%B0-%D0%BA%D0%B0%D0%B7%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE-%D0%B2%D0%B8%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE-%D1%81%D0%BA%D0%BB%D0%B0%D0%B4%D0%B0	https://zen.yandex.ru/media/id/5b7acf73eb70b800a8f8fea1/kazennyi-vinnyi-sklad-5d66a06c2fda8600ad1f182a	nikoman	Жилой дом, построен в начале 1900-х годов по проекту архитектора В. Л. Ивановского в едином комплексе. 8-и квартирный дом. Винный склад был уничтожен большевиками Косенко Андреем и Мякошиным Иваном в Январе 1918 года. (см. исторический слой). Жилой дом и ряд других построек сохранился.
Красный_55	Здание Чеховского училища	многоквартирный жилой дом,памятник архитектуры (истории)	Красный пер.	55	47.206251	38.918362	38224741	http://wikimapia.org/38224741/ru/%D0%97%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE-%D1%83%D1%87%D0%B8%D0%BB%D0%B8%D1%89%D0%B0		klunny	Чеховское училище (К. Либкнехта, 113) - такое наименование в 1910 получило 4-классное училище Мещанского общества. В 1890-е общество имело единственную 2-классную школу, в которой обучалось около 80 мальчиков из бедных мещанских семей. Назрела необходимость расширить существующую школу. Во время приезда в Таганрог А.П. Чехова (1899) староста Мещанского общества А.Ф. Аргиропуло обратился к нему с просьбой оказать содействие. Чехову удалось в Министерстве народного просвещения добиться разрешения на преобразование школы в училище. Были выделены средства на содержание шести учителей* и строительство нового здания. Общество, в целях экономии, ограничилось ремонтом старого дома, благоустройством двора, а на оставшиеся деньги приобрело учебные принадлежности. А.П. Чехов подарил несколько географических карт. С этого времени в училище стали обучаться бесплатно около 150 мальчиков, беднейшие из которых получали еще обувь и верхнюю одежду. После кончины Чехова Общество ходатайствовало об увековечении его памяти в стенах этого училища. Портрет писателя был установлен в зале, а на доме появилась доска с текстом: «1910 года, февраля 7 дня, Таганрогское мещанское общество в ознаменование 50-летия рождения бывшего таганрожского мещанина, великого русского писателя А.П. Чехова постановило: именовать настоящее училище Чеховским». В советское время Чеховское училище было реорганизовано в Трудовую школу № 7. Позже здание стало жилым домом, памятная доска утрачена. 6- ое начальное имени Кукольника—Митрофановская, 110. Завѣд. Конст. Анд. Звороно; уч. о, Митр. Бѣлый. Марія Власенко. Зин. Ив Лузгина. 7- ое начальное „Чеховское' Митрофановская, 110 Завѣд. Марія Як, Лобода, уч. о. Митр. Бѣлый.
Петровская_46	Типография №10	полиграфическое предприятие/типография,строение 19го века,выявленный объект культурного наследия	Петровская ул.	46	47.210369	38.937728	8246591	http://wikimapia.org/8246591/ru/%D0%A2%D0%B8%D0%BF%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F-%E2%84%9610		klunny	Выявленный объект культурного наследия Пр-з МК РО № 219.1 от 25.05.07 г. Изуродован перестройками и вентфасадом. В августе 1926 года президиум Окружного Исполкома признал необходимым передать домовладение по Улице Ленина (бывший магазин Адабашевых) Управлению типографиями для устройства в нем единой объединенной мощной типографии из двух существующих. В марте этого же года при типографии открыли отделение издательства «Прибой», в мае отделение газеты «Молот», в июле типографию газеты «Красное знамя» (будущую газету «Таганрогская правда»), а в феврале 1927 года красный уголок печатников. Магазин Адабашевых до революции оценивался в 100 000 рублей.
Кузнечная_1	Дом Письменского	памятник архитектуры (истории),строение 1860-х годов	Кузнечная ул.	1	47.215166	38.917373	29108125	http://wikimapia.org/29108125/ru/%D0%94%D0%BE%D0%BC-%D0%9F%D0%B8%D1%81%D1%8C%D0%BC%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE	https://sites.google.com/site/istoriceskijtaganrog/gogolevskij-pereulok/kuznecnaa-1	klunny	Дом старинной постройки, ранее 1870-х годов, принадлежал таганрогскому купцу Константину Письменскому. Его сын Николай был женат на таганрогской мещанке Александре Александровне. В 1867 году родилась дочь Александра, в 1869 году сын Яков. Обоих детей родители крестили в Митрофаниевской церкви. С 1890-х годов до Октябрьской революции домом владела Александра Николаевна Письменская, последние годы перед Советской властью в нем проживал торговец Ф. Н. Лавров. Вдоль переулка - изуродован сайдингом, по улице - сохранились элементы фасада, но здание разбито композиционно. 
Украинский_26	Ампирный флигель Ганора	памятник архитектуры (истории),строение 1820-х годов,нежилое здание	Украинский пер.	26	47.208848	38.934312	32971818	http://wikimapia.org/32971818/ru/%D0%90%D0%BC%D0%BF%D0%B8%D1%80%D0%BD%D1%8B%D0%B9-%D1%84%D0%BB%D0%B8%D0%B3%D0%B5%D0%BB%D1%8C-%D0%93%D0%B0%D0%BD%D0%BE%D1%80%D0%B0	https://fudao.livejournal.com/338341.html	klunny	В конце 1880-х годов дом принадлежал таганрогскому купцу Иосифу Абрамовичу Ганору (Ганеру). В начале 20 века дом купил таганрогский купец 2-й гильдии Иван Федорович Вербовой, владевший им до установления в городе Советской власти. В 1910-х годах в доме размещалась школа частных лиц (хедер), возглавляемая Мовшей Певзнером. Уже при Советской власти, с 1918 по 1925 год, дом принадлежал служащей Е.И. Подвигиной. В 1925 году здесь располагался ларек № 50. 
Дзержинского_7	Особняк Ильгнера	многоквартирный жилой дом,строение 19го века	ул. Дзержинского	7	47.223919	38.917487	39516187	http://wikimapia.org/39516187/ru/%D0%9E%D1%81%D0%BE%D0%B1%D0%BD%D1%8F%D0%BA-%D0%98%D0%BB%D1%8C%D0%B3%D0%BD%D0%B5%D1%80%D0%B0		bubnilka	Конец 19 - начало 20 века. Симметричный фасад на два окна с арочным входом по центру. Сейчас проём заложен, слева имеется пристройка. Дом принадлежал таганрогскому мещанину Вильгельму Ивановичу Ильгнеру и оценивался в 5200 рублей. Датировка постройки и собственность уточняется.
Добролюбовский_8	Здание макаронной фабрики	строение 19го века	Добролюбовский пер.	8	47.210088	38.939093	26421733	http://wikimapia.org/26421733/ru/%D0%97%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BC%D0%B0%D0%BA%D0%B0%D1%80%D0%BE%D0%BD%D0%BD%D0%BE%D0%B9-%D1%84%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%B8		klunny	
Фрунзе_40	Средняя школа № 10	средняя школа,памятник архитектуры (истории),строение 1952 года,строение 1910 года,выявленный объект культурного наследия	ул. Фрунзе	40	47.215116	38.927076	8551171	http://wikimapia.org/8551171/ru/%D0%A1%D1%80%D0%B5%D0%B4%D0%BD%D1%8F%D1%8F-%D1%88%D0%BA%D0%BE%D0%BB%D0%B0-%E2%84%96-10	http://sites.google.com/site/istoriceskijtaganrog/frunze-ulica/dom-40,http://www.tagschool-10.ru	Sergy	Прежний дом Калерджи был построен в 1910 году. Разрушен немецко-фашистскими оккупантами. Восстановлен в августе 1952 года. 
Энгельса_109		индивидуальный жилой дом,строение 19го века	ул. Энгельса	109	47.202329	38.917536	39659687	http://wikimapia.org/39659687/ru/%D1%83%D0%BB-%D0%AD%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%B0-109		klunny	На три окна с правой парадной.
Октябрьская_6		многоквартирный жилой дом,строение 19го века	Октябрьская ул.	6	47.214318	38.925147	39019484	http://wikimapia.org/39019484/ru/%D0%9E%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C%D1%81%D0%BA%D0%B0%D1%8F-%D1%83%D0%BB-6		klunny	ЖАКТ. Дом с флигелем. Слева особняк, с правой парадной (на ее месте тамбур). Справа флигель, скорее всего советской постройки.
Петровская_90	Драматический театр им. А. П. Чехова	театр,ворота,неоклассицизм,достопримечательность,памятник архитектуры (истории),строение 1860-х годов,объект культурного наследия регионального значения	Петровская ул.	90	47.216221	38.928736	93934	http://wikimapia.org/93934/ru/%D0%94%D1%80%D0%B0%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D1%82%D0%B5%D0%B0%D1%82%D1%80-%D0%B8%D0%BC-%D0%90-%D0%9F-%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%D0%B0	http://www.chehovsky.ru/,https://skif-tag.livejournal.com/2000630.html	klunny	Построено в 1866 году. Многократно перестраивалось. Справа сохранилась кованная калитка. Оценивалось в 48 000 рублей.
Греческая_91	Дом Парасиади	памятник архитектуры (истории),строение 1870-х годов	Греческая ул.	91	47.214134	38.933781	26436240	http://wikimapia.org/26436240/ru/%D0%94%D0%BE%D0%BC-%D0%9F%D0%B0%D1%80%D0%B0%D1%81%D0%B8%D0%B0%D0%B4%D0%B8		klunny	Строительство одноэтажного с подвалом дома велось по прошению жены таганрогского купца Авдотьи Павловны Парасиади по проекту, составленному в 1870 году. Во время Вел. Отеч. войны часть дома была разрушена. Оставшаяся часть фасада имеет два слабо выраженных ризалита, акцентированных треугольными фронтонами. Декоративное убранство лицевого фасада состоит из профилированных наличником сандриков, филенок, горизонтальных тяг. Со стороны Итальянского переулка к боковому фасаду здания примыкает одноэтажное кирпичное строение, представляющее собой амбар, приспособленный под жилые нужды.
Добролюбовский_35	Дом Ивана Солодова	ворота,многоквартирный жилой дом,памятник архитектуры (истории),строение 1870-х годов	Добролюбовский пер.	35	47.204611	38.934318	38212016	http://wikimapia.org/38212016/ru/%D0%94%D0%BE%D0%BC-%D0%98%D0%B2%D0%B0%D0%BD%D0%B0-%D0%A1%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%B2%D0%B0		klunny	Одноэтажный дом на четыре окна, в 1916 году оценивался в восемь тысяч рублей. В начале 1870-х годов он уже существовал и принадлежал купцу Ивану Константиновичу Солодову, товарищу директора городского Общественного банка, владельцу имения на Александровской косе. В конце 1880-х годов дом приобрел купец Дмитрий Михайлович Шульгин. В 1910-х годах домом владел ростовский купец Василий Гоменко и в эти же годы по этому адресу находились обширные склады пива предпринимателя Калинкинского. Дом сохранился плохо. Утрачена одна Итальянская ставня, кованные ворота и калитки. Справа сохранилась арка ворот.
Греческая_32	Дом Лобанова	ворота,наследие,памятник архитектуры (истории),строение 1897 года,объект культурного наследия регионального значения	Греческая ул.	32	47.208483	38.942766	26429743	http://wikimapia.org/26429743/ru/%D0%94%D0%BE%D0%BC-%D0%9B%D0%BE%D0%B1%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0	https://sites.google.com/site/istoriceskijtaganrog/greceskaa-ulica-1/dom-32	klunny	Здание является объектом культурного наследия регионального значения — «Мемориальное здание (жилой дом)» (решение Малого совета Ростовского областного совета народных депутатов от 18.11.1992 № 301). Часть окон заменена на пластик. В целом сохранилось здание хорошо. 
Петровская_48	Дом Христофора Тащиева	многоквартирный жилой дом,памятник архитектуры (истории),строение 1905 года	Петровская ул.	48	47.210675	38.936873	26421749	http://wikimapia.org/26421749/ru/%D0%94%D0%BE%D0%BC-%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%BE%D1%84%D0%BE%D1%80%D0%B0-%D0%A2%D0%B0%D1%89%D0%B8%D0%B5%D0%B2%D0%B0		klunny	Участок принадлежал: в 1873-1898 - купцу С. Тащиеву в 1906 - купцу Х.Е. Тащиеву в 1915 - А.Е. Хаспекову. В 1888 образовалось торговое товарищество «Тащиев Х.Е. и Хаспеков А.Е.». В 1910-е здесь находились магазины Тащиева и Хаспекова: Мануфактурный», «Галантерейные товары», «Готовое платье», «Обувь», «Шляпы и фуражки». Б 1926 в доме размещался учебный пункт Таганрогского гарнизона, а во флигеле во дворе - служебные помещения при учебном пункте. Сейчас дом жилой, но на первом этаже расположился магазин «Октава». Дом оценивался в 60 000 рублей.
Итальянский_56		ворота,достопримечательность,строение 19го века,двухквартирный жилой дом	Итальянский пер.	56	47.207818	38.92712	38180569	http://wikimapia.org/38180569/ru/%D0%98%D1%82%D0%B0%D0%BB%D1%8C%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80-56		klunny	
Добролюбовский_34	Дом статского советника Попова	многоквартирный жилой дом,памятник архитектуры (истории),строение 19го века	Добролюбовский пер.	34	47.204391	38.933716	38199009	http://wikimapia.org/38199009/ru/%D0%94%D0%BE%D0%BC-%D1%81%D1%82%D0%B0%D1%82%D1%81%D0%BA%D0%BE%D0%B3%D0%BE-%D1%81%D0%BE%D0%B2%D0%B5%D1%82%D0%BD%D0%B8%D0%BA%D0%B0-%D0%9F%D0%BE%D0%BF%D0%BE%D0%B2%D0%B0		klunny	Дом Ивана Константиновича Попова, оценивался в 10800 рублей.
